,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
1603,DREAMGUARD/DEPUTY WI,Hero,0,na,1,0.0,
1604,DREAMING CELESTIAL/T,Hero,0,na,1,0.0,
1605,DREAM QUEEN,Villain,0,na,1,0.0,
1606,"DREYFUSS, RACHEL",Hero,1,na,2,1.0,1.0
1607,DR. FAUSTUS,Hero,8,na,5,10.0,0.8
1608,DR. GOODWRENCH,Hero,0,na,1,0.0,
1609,DR. HYDRO,Hero,0,na,1,0.0,
1610,"DRISCOLL, MAYOR",Hero,6,na,4,6.0,1.0
1611,DR. MIDAS/,Hero,0,na,1,0.0,
1612,DR. MIME,Hero,0,na,1,0.0,
1613,DR. NEMESIS/DR. STOC,Hero,0,na,1,0.0,
1614,DR. OCTOPUS II/CAROL,Villain,42,na,12,66.0,0.6363636363636364
1615,DR. OCTOPUS | MUTANT,Villain,45,na,10,45.0,1.0
1616,DR. OCTOPUS/OTTO OCT,Villain,605,na,59,1711.0,0.35359438924605496
1617,DROMEDAN,Hero,0,na,1,0.0,
1618,DR. PHOBOS,Hero,3,na,3,3.0,1.0
1619,DR. POWER/DR. MAXIMU,Hero,0,na,1,0.0,
1620,DR. SPECTRUM II/DR.,Villain,11,na,7,21.0,0.5238095238095238
1621,DR. SPECTRUM III/REV,Villain,1,na,2,1.0,1.0
1622,DR. SPECTRUM/JOSEPH,Villain,60,na,20,190.0,0.3157894736842105
1623,DR. STRANGE DOPPELGA,Hero,3,na,3,3.0,1.0
1624,DR. STRANGE | MUTANT,Hero,79,na,14,91.0,0.8681318681318682
1625,DR. STRANGER YET,Hero,1,na,2,1.0,1.0
1626,DR. STRANGE/STEPHEN,Hero,2573,na,228,25878.0,0.09942808563258367
1627,DR. SUN,Villain,3,na,3,3.0,1.0
1628,DR. SYNNE,Hero,6,na,4,6.0,1.0
1629,DRUID/DREDMUND CROMW,Hero,4,na,4,6.0,0.6666666666666666
1630,DRUIG,Hero,3,na,3,3.0,1.0
1631,"DRUMM, COLLETTE",Hero,1,na,2,1.0,1.0
1632,"DRUMM, JERICHO",Hero,64,na,17,136.0,0.47058823529411764
1633,DR. VAULT,Hero,1,na,2,1.0,1.0
1634,DR. VOLKH/VLADIMIR O,Hero,0,na,1,0.0,
1635,DRY,Hero,0,na,1,0.0,
1636,DR. ZEUS,Hero,6,na,4,6.0,1.0
1637,D'SPAYRE,Villain,61,na,20,190.0,0.32105263157894737
1638,D'SPRYTE,Hero,0,na,1,0.0,
1639,"DUBOIS, DR. CLAUDIA",Hero,1,na,2,1.0,1.0
1640,"DUBOIS, HERVE",Hero,1,na,2,1.0,1.0
1641,"DUBOIS, NOAH",Hero,12,na,7,21.0,0.5714285714285714
1642,DUCHARME,Villain,1,na,2,1.0,1.0
1643,"DUCRESTE, ABRIAN",Hero,0,na,1,0.0,
1644,"DUFFY, SGT. MIKE",Hero,1,na,2,1.0,1.0
1645,"DUGAN, DUM DUM | MUT",Hero,8,na,5,10.0,0.8
1646,"DUGAN, TIMOTHY ALOYI",Hero,1035,na,110,5995.0,0.17264386989157632
1647,DULB,Hero,0,na,1,0.0,
1648,"DULTRY, MARGARET",Hero,0,na,1,0.0,
1649,"DUNCAN, FRED",Hero,6,na,5,10.0,0.6
1650,"DUNER, MAJOR",Hero,0,na,1,0.0,
1651,"DUNHAM, LAURA",Hero,4,na,4,6.0,0.6666666666666666
1652,"DUNLEAVY, GEN. ARLEN",Hero,1,na,2,1.0,1.0
1653,"DURAN, CONAL",Hero,36,na,9,36.0,1.0
1654,DUSK III,Villain,0,na,1,0.0,
1655,DUSK,Villain,3,na,3,3.0,1.0
1656,"DUVALL, SNAKY",Hero,0,na,1,0.0,
1657,DWELLER IN DARKNESS,Villain,15,na,7,21.0,0.7142857142857143
1658,D'WON,Hero,3,na,3,3.0,1.0
1659,"DWORMAN, JIM",Hero,8,na,5,10.0,0.8
1660,"DWYER, MARISSA",Hero,10,na,5,10.0,1.0
1661,DYNA-MITE/ROGER AUBR,Hero,112,na,20,190.0,0.5894736842105263
1662,"EARLE, CARYN",Hero,3,na,3,3.0,1.0
1663,EARTH-LORD/KYLE BROC,Hero,2,na,3,3.0,0.6666666666666666
1664,EARTHQUAKE,Hero,81,na,18,153.0,0.5294117647058824
1665,EBONY,Hero,284,na,39,741.0,0.3832658569500675
1666,ECCE [WATCHER],Hero,1,na,2,1.0,1.0
1667,ECHO/MAYA LOPEZ,Hero,3,na,3,3.0,1.0
1668,ECLECTA/,Hero,25,na,8,28.0,0.8928571428571429
1669,ECLIPTIC,Hero,10,na,5,10.0,1.0
1670,ECSTACY/MME. RENE DE,Hero,12,na,7,21.0,0.5714285714285714
1671,EDDA,Hero,21,na,7,21.0,1.0
1672,"EDGERTON, GAYLE",Hero,44,na,11,55.0,0.8
1673,"EDGERTON, MR.",Hero,28,na,8,28.0,1.0
1674,EDITOR,Hero,1,na,2,1.0,1.0
1675,"EDWARDS, MARTIN/DR.",Hero,12,na,7,21.0,0.5714285714285714
1676,EELAK,Hero,34,na,9,36.0,0.9444444444444444
1677,EEL II/EDWARD LAVELL,Hero,300,na,38,703.0,0.4267425320056899
1678,EEL III,Hero,0,na,1,0.0,
1679,EEL/LEOPOLD STRYKE,Hero,215,na,26,325.0,0.6615384615384615
1680,EENY,Hero,67,na,16,120.0,0.5583333333333333
1681,EFFIGY/LT. VELMAX/JA,Hero,8,na,6,15.0,0.5333333333333333
1682,EGGHEAD/PROF. ELIHAS,Villain,59,na,14,91.0,0.6483516483516484
1683,EGMA,Hero,21,na,7,21.0,1.0
1684,EGO,Villain,97,na,26,325.0,0.29846153846153844
1685,EGO-PRIME,Hero,35,na,12,66.0,0.5303030303030303
1686,"EHMAN, HEIDI",Hero,0,na,1,0.0,
1687,EIGHTBALL,Hero,25,na,9,36.0,0.6944444444444444
1688,EILIF DRAGONSLAYER,Hero,1,na,2,1.0,1.0
1689,"EISMAN, BETTY",Hero,1,na,2,1.0,1.0
1690,EITRI,Hero,60,na,15,105.0,0.5714285714285714
1691,EJULP,Hero,15,na,6,15.0,1.0
1692,EKAK,Hero,3,na,3,3.0,1.0
1693,EL AGUILA,Hero,6,na,5,10.0,0.6
1694,ELAMRON,Hero,1,na,2,1.0,1.0
1695,ELATHAN,Hero,0,na,1,0.0,
1696,EL CONQUISTADOR,Hero,0,na,1,0.0,
1697,ELECTRA,Hero,0,na,1,0.0,
1698,ELEC'TRIX/,Hero,0,na,1,0.0,
1699,ELECTRO/MAX DILLON,Villain,948,na,82,3321.0,0.28545618789521227
1700,ELECTRON,Hero,19,na,9,36.0,0.5277777777777778
1701,ELECTRYON,Hero,0,na,1,0.0,
1702,ELEJEA,Hero,10,na,5,10.0,1.0
1703,ELEKTRA/ELEKTRA NATC,Villain,39,na,15,105.0,0.37142857142857144
1704,ELEKTRA | MUTANT X-V,Hero,94,na,21,210.0,0.44761904761904764
1705,"EL GIBAR, ACHMED",Hero,8,na,5,10.0,0.8
1706,ELITE/,Hero,6,na,4,6.0,1.0
