,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
893,CARINA/CARINA WALTER,Hero,29,8,8,64,0.453125
894,"CARLISLE, JENNA",Hero,6,1,6,6,1.0
895,"CARLISLE, MELISSA BO",Hero,8,3,4,12,0.6666666666666666
896,"CARLISLE, PHILLIP",Hero,56,18,12,216,0.25925925925925924
897,"CARLTON, JAKE",Hero,3,1,3,3,1.0
898,"CARLTON, LUCY",Hero,3,1,3,3,1.0
899,CARLY,Hero,1,1,1,1,1.0
900,"CARMODY, MARY",Hero,2,1,2,2,1.0
901,"CARMODY, MRS.",Hero,2,1,2,2,1.0
902,CARNAGE/CLETUS KASAD,Villain,85,27,22,594,0.14309764309764308
903,CARNIVORE/COUNT ANDR,Villain,24,11,6,66,0.36363636363636365
904,"CARPATHIAN, ANDREW",Hero,2,1,2,2,1.0
905,"CARPENTER, LARRY",Hero,20,6,15,90,0.2222222222222222
906,"CARPENTER, RACHEL",Hero,50,22,21,462,0.10822510822510822
907,"CARR, DAN",Hero,1,1,1,1,1.0
908,"CARRADINE, JESSICA J",Hero,41,17,11,187,0.2192513368983957
909,"CARRERA, MIA",Hero,3,2,2,4,0.75
910,CARRION,Villain,14,8,5,40,0.35
911,CARRION II/MALCOLM M,Villain,27,8,14,112,0.24107142857142858
912,CARRION III/DR. WILL,Villain,2,1,2,2,1.0
913,"CARSON, LT. PAUL",Hero,40,14,10,140,0.2857142857142857
914,"CARTER, BRAD",Hero,13,9,2,18,0.7222222222222222
915,"CARTER, JIMMY",Hero,17,8,9,72,0.2361111111111111
916,"CARTER, PEGGY",Hero,271,82,81,6642,0.04080096356519121
917,"CARTER, SHARON",Hero,298,136,69,9384,0.03175618073316283
918,"CARTER, SHARON II",Hero,2,1,2,2,1.0
919,"CARTER, TAD",Hero,8,5,3,15,0.5333333333333333
920,CARTHUS,Hero,31,6,6,36,0.8611111111111112
921,CARVER,Hero,2,1,2,2,1.0
922,"CASE, COL. PRESTON",Hero,17,4,11,44,0.38636363636363635
923,CASEY,Hero,1,1,1,1,1.0
924,"CASIOLENA, QUEEN",Hero,10,2,8,16,0.625
