hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
"ASTER, LUCIAN",Hero,112792,na,2814,3957891,0.028498006
ASTRA,Hero,145272,na,4095,8382465,0.017330463
ASTRA II,Hero,100476,na,2225,2474200,0.04060949
ASTROLOGER/,Hero,76633,na,1562,1219141,0.062858193
ASTRONOMER,Hero,100297,na,2249,2527876,0.039676392
"ASTROVIK, ARNOLD",Hero,66785,na,1423,1011753,0.066009194
"ASTROVIK, NORMA",Hero,144938,na,4141,8571870,0.016908563
ASYLUM II/HENRIQUE M,Hero,63808,na,1321,871860,0.073186062
ASYLUM/,Hero,99163,na,2109,2222886,0.044610025
ATALANTA,Hero,149413,na,4341,9419970,0.015861303
ATALON,Hero,61442,na,1199,718201,0.085549867
ATHENA [GREEK GOD],Hero,138568,na,3599,6474601,0.021401782
"ATKINSON, MAJ. EDMON",Hero,130844,na,3355,5626335,0.023255636
ATLAS,Hero,129760,na,3384,5724036,0.022669319
ATLAS III,Hero,87243,na,1689,1425516,0.061200997
ATOM-SMASHER/,Hero,91183,na,1924,1849926,0.04929008
ATOM SMASHER II/,Hero,80089,na,1645,1352190,0.059229102
ATOM SMASHER/,Hero,93019,na,1931,1863415,0.049918563
"ATOR, GENERAL",Hero,122686,na,2960,4379320,0.028014852
ATTRACTIVE LAD/AUNDR,Hero,101972,na,2235,2496495,0.040846066
ATTUMA,Villain,163184,na,5518,15221403,0.010720694
AUGUST PERSONAGE IN,Hero,146224,na,4189,8771766,0.016669847
AUNTIE FREEZE/,Hero,87702,na,1761,1549680,0.056593619
AURA/ANN HERD,Hero,108282,na,2574,3311451,0.032699261
AURIC/,Hero,137099,na,3765,7085730,0.019348606
AURORA DOPPELGANGER,Villain,141445,na,3893,7575778,0.01867069
AURORA/JEANNE-MARIE,Hero,169302,na,6075,18449775,0.009176372
AURORA | MUTANT X-VE,Hero,41081,na,785,307720,0.133501235
"AUSTIN, GEN.",Hero,95294,na,1969,1937496,0.049184102
"AUSTIN, SUSAN",Hero,152814,na,4709,11084986,0.013785674
"AUSTIN, TERRY",Hero,119997,na,3057,4671096,0.02568926
"AUTHIER, POLICE CHIE",Hero,42066,na,958,458403,0.091766415
"AUTHIER, TRACY TRACE",Hero,47821,na,1117,623286,0.076724008
AUTHORITY/,Hero,108540,na,2549,3247426,0.033423394
AUTOLYCUS,Hero,51051,na,1055,555985,0.091820823
AVALANCHE/DOMINIC PE,Villain,165964,na,5719,16350621,0.010150318
AVANDALIA,Villain,88800,na,2124,2254626,0.03938569
AVATAR II/PRINCESS A,Hero,36447,na,695,241165,0.151128895
AVATAR,Hero,123764,na,3031,4591965,0.026952296
AVIA,Hero,128047,na,3199,5115201,0.025032643
AVIOS,Hero,156267,na,4907,12036871,0.012982361
AVIUS,Hero,106717,na,2312,2671516,0.039946233
"AVRIL, SALLY",Hero,128852,na,3426,5867025,0.021962068
"AVRIL, YVETTE",Hero,88803,na,1882,1770021,0.050170591
A,Hero,79846,na,1616,1304920,0.061188425
AWESOME ANDROID,Villain,134266,na,3698,6835753,0.019641728
AXE/,Hero,129402,na,3329,5539456,0.023360056
AXIS/,Hero,4074,na,162,13041,0.312399356
"AYALA, AWILDA",Hero,53131,na,1208,729028,0.072879231
"AYALA, FILIPPO",Hero,43464,na,874,381501,0.113928928
"AYALA, MRS.",Hero,53131,na,1208,729028,0.072879231
"AYALA, NESTOR",Hero,52349,na,1175,689725,0.075898365
AYESHA,Villain,98398,na,2045,2089990,0.047080608
A'YIN,Hero,82826,na,1642,1347261,0.061477323
AZAZEL,Villain,90949,na,1874,1755001,0.051822762
AZAZEL II,Villain,14125,na,488,118828,0.11886929
AZIR,Hero,41926,na,837,349866,0.119834451
AZOPARDI,Hero,22,na,9,36,0.611111111
AZOR,Hero,72408,na,1492,1112286,0.065098365
AZRAEL,Hero,55310,na,1089,592416,0.093363447
AZURE,Hero,84547,na,1643,1348903,0.062678339
BAAL II,Hero,54505,na,1121,627760,0.086824583
BAAL,Hero,34664,na,608,184528,0.18785225
BACILLUS,Hero,35116,na,765,292230,0.120165623
"BADALAMENTE, JESUS",Hero,134181,na,3596,6463810,0.020758809
"BADALINO, LT. MICHAE",Hero,60886,na,1265,799480,0.076157002
"BAILEY, GAILYN",Hero,85075,na,1812,1640766,0.051850782
"BAILEY, JOEY",Hero,85075,na,1812,1640766,0.051850782
"BAILEY, SARA GREY",Hero,120731,na,2934,4302711,0.028059286
"BAIRD, DR.",Hero,114341,na,2614,3415191,0.033480119
"BAKER, ANNE-MARIE",Hero,115120,na,2986,4456605,0.025831322
BAKER,Hero,39607,na,859,368511,0.107478474
BALABAN/,Hero,105667,na,2548,3244878,0.032564244
BALDER [ASGARDIAN],Hero,164217,na,5656,15992340,0.010268479
