,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
198,ARGOS,Hero,342,3,26,78,4.384615384615385
199,"ARGOSY, HERVE",Hero,10,1,4,4,2.5
200,ARIA,Hero,316,5,28,140,2.257142857142857
201,ARIANE,Hero,27,2,6,12,2.25
202,ARIDES,Hero,301,5,25,125,2.408
203,ARIEL II,Hero,639,8,37,296,2.1587837837837838
204,ARIES II/GROVER RAYM,Hero,1276,9,67,603,2.1160862354892207
205,ARIES III/,Hero,351,1,26,26,13.5
206,ARIES/MARCUS LASSITE,Hero,535,2,35,70,7.642857142857143
207,ARISHEM [CELESTIAL],Hero,6608,22,175,3850,1.7163636363636363
208,ARIZE,Hero,1073,3,54,162,6.6234567901234565
209,"ARKANIAN, GLIB",Hero,170,3,21,63,2.6984126984126986
210,ARKO,Hero,400,5,28,140,2.857142857142857
211,ARKON,Hero,2754,16,102,1632,1.6875
212,"ARLINGTON, DR. MARCU",Hero,102,3,14,42,2.4285714285714284
213,ARLISSE,Hero,153,1,17,17,9.0
214,ARMADA,Hero,55,1,10,10,5.5
215,ARMADA II/,Hero,124,3,15,45,2.7555555555555555
216,ARMADILLO/ANTONIO RO,Hero,1595,7,78,546,2.921245421245421
217,ARMAGEDDON,Hero,90,2,13,26,3.4615384615384617
