,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
264,ATOM SMASHER II/,Hero,80089,na,1645,1352190.0,0.05922910241903875
265,ATOM SMASHER/,Hero,93019,na,1931,1863415.0,0.049918563497664235
266,"ATOR, GENERAL",Hero,122686,na,2960,4379320.0,0.028014851620799575
267,ATTRACTIVE LAD/AUNDR,Hero,101972,na,2235,2496495.0,0.04084606618479108
268,ATTUMA,Villain,163184,na,5518,15221403.0,0.010720693749452663
269,AUGUST PERSONAGE IN,Hero,146224,na,4189,8771766.0,0.016669847326068663
270,AUNTIE FREEZE/,Hero,87702,na,1761,1549680.0,0.056593619327861236
271,AURA/ANN HERD,Hero,108282,na,2574,3311451.0,0.03269926083762073
272,AURIC/,Hero,137099,na,3765,7085730.0,0.01934860628333284
273,AURORA DOPPELGANGER,Villain,141445,na,3893,7575778.0,0.018670689663820666
274,AURORA/JEANNE-MARIE,Hero,169302,na,6075,18449775.0,0.009176372069578085
275,AURORA | MUTANT X-VE,Hero,41081,na,785,307720.0,0.13350123488886
276,"AUSTIN, GEN.",Hero,95294,na,1969,1937496.0,0.04918410154137092
277,"AUSTIN, SUSAN",Hero,152814,na,4709,11084986.0,0.013785673703151272
278,"AUSTIN, TERRY",Hero,119997,na,3057,4671096.0,0.025689260079433177
279,"AUTHIER, POLICE CHIE",Hero,42066,na,958,458403.0,0.09176641514126216
280,"AUTHIER, TRACY TRACE",Hero,47821,na,1117,623286.0,0.07672400791931794
281,AUTHORITY/,Hero,108540,na,2549,3247426.0,0.033423394405292066
282,AUTOLYCUS,Hero,51051,na,1055,555985.0,0.09182082250420424
283,AVALANCHE/DOMINIC PE,Villain,165964,na,5719,16350621.0,0.01015031783808089
284,AVANDALIA,Villain,88800,na,2124,2254626.0,0.03938568968866677
285,AVATAR II/PRINCESS A,Hero,36447,na,695,241165.0,0.15112889515476954
286,AVATAR,Hero,123764,na,3031,4591965.0,0.026952296021420023
287,AVIA,Hero,128047,na,3199,5115201.0,0.02503264290103165
288,AVIOS,Hero,156267,na,4907,12036871.0,0.012982360615146578
289,AVIUS,Hero,106717,na,2312,2671516.0,0.03994623277569739
290,"AVRIL, SALLY",Hero,128852,na,3426,5867025.0,0.02196206765779931
291,"AVRIL, YVETTE",Hero,88803,na,1882,1770021.0,0.05017059119637564
292,A,Hero,79846,na,1616,1304920.0,0.0611884253440824
293,AWESOME ANDROID,Villain,134266,na,3698,6835753.0,0.019641727838908163
294,AXE/,Hero,129402,na,3329,5539456.0,0.023360055572243917
295,AXIS/,Hero,4074,na,162,13041.0,0.31239935587761675
296,"AYALA, AWILDA",Hero,53131,na,1208,729028.0,0.07287923097603934
297,"AYALA, FILIPPO",Hero,43464,na,874,381501.0,0.1139289281024165
298,"AYALA, MRS.",Hero,53131,na,1208,729028.0,0.07287923097603934
299,"AYALA, NESTOR",Hero,52349,na,1175,689725.0,0.07589836529051433
300,AYESHA,Villain,98398,na,2045,2089990.0,0.0470806080411868
301,A'YIN,Hero,82826,na,1642,1347261.0,0.06147732325065448
302,AZAZEL,Villain,90949,na,1874,1755001.0,0.05182276249415242
303,AZAZEL II,Villain,14125,na,488,118828.0,0.11886929006631433
304,AZIR,Hero,41926,na,837,349866.0,0.1198344509040604
305,AZOPARDI,Hero,22,na,9,36.0,0.6111111111111112
306,AZOR,Hero,72408,na,1492,1112286.0,0.06509836498886078
307,AZRAEL,Hero,55310,na,1089,592416.0,0.09336344730729758
308,AZURE,Hero,84547,na,1643,1348903.0,0.06267833936168872
309,BAAL II,Hero,54505,na,1121,627760.0,0.08682458264304829
310,BAAL,Hero,34664,na,608,184528.0,0.18785225006503078
311,BACILLUS,Hero,35116,na,765,292230.0,0.12016562296820997
312,"BADALAMENTE, JESUS",Hero,134181,na,3596,6463810.0,0.02075880943282677
313,"BADALINO, LT. MICHAE",Hero,60886,na,1265,799480.0,0.07615700205133337
314,"BAILEY, GAILYN",Hero,85075,na,1812,1640766.0,0.0518507818908973
315,"BAILEY, JOEY",Hero,85075,na,1812,1640766.0,0.0518507818908973
316,"BAILEY, SARA GREY",Hero,120731,na,2934,4302711.0,0.028059286342959126
317,"BAIRD, DR.",Hero,114341,na,2614,3415191.0,0.03348011868150273
318,"BAKER, ANNE-MARIE",Hero,115120,na,2986,4456605.0,0.025831322273344844
319,BAKER,Hero,39607,na,859,368511.0,0.10747847418394567
320,BALABAN/,Hero,105667,na,2548,3244878.0,0.032564244325980825
321,BALDER [ASGARDIAN],Hero,164217,na,5656,15992340.0,0.010268478534098199
322,"BALDWIN, JUSTIN",Hero,153897,na,4608,10614528.0,0.01449871346139932
323,"BALDWIN, MADELYNE MA",Hero,161771,na,5250,13778625.0,0.01174072158869263
324,"BALE, EMERSON",Hero,149715,na,4517,10199386.0,0.014678824784158577
325,"BALLANTINE, DEVON",Hero,108362,na,2369,2804896.0,0.03863316144341893
326,"BALLANTINE, KAYLA",Hero,164752,na,5572,15520806.0,0.010614912653376378
327,"BALLANTINE, MR.",Hero,101258,na,2150,2310175.0,0.04383131148073198
328,"BALLANTINE, MRS.",Hero,101258,na,2150,2310175.0,0.04383131148073198
329,BALOR,Hero,124126,na,3143,4937653.0,0.025138664057599836
330,BAMBI,Hero,141879,na,4046,8183035.0,0.0173381880928042
331,"BANCROFT, MARTINE",Hero,132900,na,3580,6406410.0,0.02074484773843697
332,BANDIT/,Hero,86903,na,1859,1727011.0,0.050319887945126
333,"BANK, IRVING",Hero,31855,na,636,201930.0,0.15775268657455555
334,"BANKS, SHARON",Hero,124112,na,3092,4778686.0,0.025971993137862585
335,"BANNER, BETTY ROSS T",Hero,167086,na,5897,17384356.0,0.00961128499669473
336,"BANNERJEE, DR.",Hero,34766,na,790,311655.0,0.11155283887632157
337,"BANNON, LANCE",Hero,150999,na,4497,10109256.0,0.014936707508445725
338,BANSHEE 2013,Hero,114039,na,2635,3470295.0,0.03286147143110312
339,BANSHEE II,Hero,130889,na,3541,6267570.0,0.02088353221423933
340,BANSHEE/SEAN CASSIDY,Hero,167084,na,5855,17137585.0,0.009749565064155773
341,BANTAM/,Hero,93197,na,1996,1991010.0,0.046808906032616615
342,"BANTOCK, LT. OLIVER",Hero,39341,na,868,376278.0,0.10455301665258133
343,"BAPTISTE, TANTE MATT",Hero,30030,na,618,190653.0,0.157511290144923
344,BARAK,Hero,82826,na,1642,1347261.0,0.06147732325065448
345,"BARBAROSSA, MARIO",Hero,23473,na,762,289941.0,0.08095785004535405
346,"BARBAROSSA, VINNIE",Hero,93586,na,2178,2370753.0,0.03947522158571559
347,BARBARUS,Villain,152963,na,4610,10623745.0,0.014398218330729889
348,BARIUM,Hero,127702,na,3080,4741660.0,0.02693191835770595
